vehicle_id,brand,model,year,fuel_type,transmission,body_type,engine_capacity,scraped_at
BMW_523_1999_Benzine_Automatic_Sedan_2500.0,BMW,523,1999,Benzine,Automatic,Sedan,2500.0,2026-01-16 21:04:24
Hyundai_Elantra_2026_Benzine_Automatic_Sedan_1550.0,Hyundai,Elantra,2026,Benzine,Automatic,Sedan,1550.0,2026-01-16 21:04:33
Volkswagen_Golf_2010_Benzine_Automatic_Hatchback_1400.0,Volkswagen,Golf,2010,Benzine,Automatic,Hatchback,1400.0,2026-01-16 21:04:45
Citroen_DS4_2023_Benzine_Automatic_Hatchback_1600.0,Citroen,DS4,2023,Benzine,Automatic,Hatchback,1600.0,2026-01-16 21:04:59
Hyundai_Elantra_2026_Benzine_Automatic_Sedan_1600.0,Hyundai,Elantra,2026,Benzine,Automatic,Sedan,1600.0,2026-01-16 21:05:08
Renault_Fluence_2014_Benzine_Automatic_Sedan_1600.0,Renault,Fluence,2014,Benzine,Automatic,Sedan,1600.0,2026-01-16 21:05:16
BMW_X6_2025_Benzine_Automatic_SUV_4000.0,BMW,X6,2025,Benzine,Automatic,SUV,4000.0,2026-01-16 21:05:26
BMW_320_2016_Benzine_Automatic_Sedan_2000.0,BMW,320,2016,Benzine,Automatic,Sedan,2000.0,2026-01-16 21:05:41
Chevrolet_Aveo_2015_Benzine_Automatic_Sedan_1500.0,Chevrolet,Aveo,2015,Benzine,Automatic,Sedan,1500.0,2026-01-16 21:05:52
Fiat_131_1979_Natural Gas_Manual_Sedan_1300.0,Fiat,131,1979,Natural Gas,Manual,Sedan,1300.0,2026-01-16 21:06:00
Peugeot_3008_2025_Benzine_Automatic_SUV_1600.0,Peugeot,3008,2025,Benzine,Automatic,SUV,1600.0,2026-01-16 21:06:14
Toyota_Corolla_2021_Benzine_Automatic_Sedan_1600.0,Toyota,Corolla,2021,Benzine,Automatic,Sedan,1600.0,2026-01-16 21:06:28
Volkswagen_Polo_2001_Benzine_Manual_Sedan_1400.0,Volkswagen,Polo,2001,Benzine,Manual,Sedan,1400.0,2026-01-16 21:06:35
Haval_H6_2026_Benzine_Automatic_SUV_1500.0,Haval,H6,2026,Benzine,Automatic,SUV,1500.0,2026-01-16 21:06:44
Kia_Sportage_2019_Benzine_Automatic_SUV_1600.0,Kia,Sportage,2019,Benzine,Automatic,SUV,1600.0,2026-01-16 21:06:54
Peugeot_3008_2023_Benzine_Automatic_SUV_1600.0,Peugeot,3008,2023,Benzine,Automatic,SUV,1600.0,2026-01-16 21:07:12
Peugeot_406_1998_Benzine_Manual_Sedan_1600.0,Peugeot,406,1998,Benzine,Manual,Sedan,1600.0,2026-01-16 21:07:19
Skoda_Octavia_2018_Benzine_Automatic_Sedan_1600.0,Skoda,Octavia,2018,Benzine,Automatic,Sedan,1600.0,2026-01-16 21:07:28
Chevrolet_Optra_2008_Benzine_Automatic_Sedan_1600.0,Chevrolet,Optra,2008,Benzine,Automatic,Sedan,1600.0,2026-01-16 21:07:46
Renault_Logan_2009_Benzine_Manual_Sedan_1500.0,Renault,Logan,2009,Benzine,Manual,Sedan,1500.0,2026-01-16 21:07:54
Jetour_X70 Plus_2021_Benzine_Automatic_SUV_1500.0,Jetour,X70 Plus,2021,Benzine,Automatic,SUV,1500.0,2026-01-16 21:08:05
Suzuki_Swift_2021_Benzine_Automatic_Hatchback_1200.0,Suzuki,Swift,2021,Benzine,Automatic,Hatchback,1200.0,2026-01-16 21:08:16
Tesla_Cybertruck_2025_Electric_Automatic_SUV_9000.0,Tesla,Cybertruck,2025,Electric,Automatic,SUV,9000.0,2026-01-16 21:08:35
Renault_Logan_2018_Benzine_Automatic_Sedan_1600.0,Renault,Logan,2018,Benzine,Automatic,Sedan,1600.0,2026-01-16 21:08:46
BMW_316_1997_Benzine_Manual_Sedan_1600.0,BMW,316,1997,Benzine,Manual,Sedan,1600.0,2026-01-16 21:08:53
Peugeot_3008_2022_Benzine_Automatic_SUV_1600.0,Peugeot,3008,2022,Benzine,Automatic,SUV,1600.0,2026-01-16 21:09:05
Audi_A3_2024_Benzine_Automatic_Sedan_1400.0,Audi,A3,2024,Benzine,Automatic,Sedan,1400.0,2026-01-16 21:09:16
Hyundai_I10_2016_Benzine_Automatic_Hatchback_1100.0,Hyundai,I10,2016,Benzine,Automatic,Hatchback,1100.0,2026-01-16 21:09:31
Opel_Corsa_2003_Benzine_Manual_Sedan_1600.0,Opel,Corsa,2003,Benzine,Manual,Sedan,1600.0,2026-01-16 21:09:39
Mercedes-Benz_C180_2017_Benzine_Automatic_Convertible_1600.0,Mercedes-Benz,C180,2017,Benzine,Automatic,Convertible,1600.0,2026-01-16 21:09:52
BMW_535_2015_Benzine_Automatic_Sedan_nan,BMW,535,2015,Benzine,Automatic,Sedan,,2026-01-16 21:10:02
Mercedes-Benz_C200_2022_Benzine_Automatic_Sedan_1500.0,Mercedes-Benz,C200,2022,Benzine,Automatic,Sedan,1500.0,2026-01-16 21:10:12
Volkswagen_Tayron_2026_Benzine_Automatic_SUV_1400.0,Volkswagen,Tayron,2026,Benzine,Automatic,SUV,1400.0,2026-01-16 21:10:20
Mercedes-Benz_GLA 200_2024_Benzine_Automatic_Hatchback_1300.0,Mercedes-Benz,GLA 200,2024,Benzine,Automatic,Hatchback,1300.0,2026-01-16 21:10:33
