,brand,model,year,fuel_type,transmission,body_type,engine_capacity,count
1626,Mercedes-Benz,E200,2026.0,Benzine,Automatic,Sedan,2000.0,18
1697,Mercedes-Benz,GLC 300,2026.0,Benzine,Automatic,SUV,2000.0,16
1871,Nissan,Sunny,2026.0,Benzine,Automatic,Sedan,1500.0,15
1971,Opel,Vectra,2008.0,Benzine,Automatic,Sedan,1600.0,14
1624,Mercedes-Benz,E200,2025.0,Benzine,Automatic,Sedan,2000.0,14
1573,Mercedes-Benz,C200,2026.0,Benzine,Automatic,Sedan,1500.0,12
1555,Mercedes-Benz,C180,2025.0,Benzine,Automatic,Sedan,1500.0,11
1545,Mercedes-Benz,C180,2022.0,Benzine,Automatic,Sedan,1500.0,10
1317,Kia,Sportage,2026.0,Benzine,Automatic,SUV,1600.0,10
1556,Mercedes-Benz,C180,2026.0,Benzine,Automatic,Sedan,1500.0,9
23,Audi,A5,2025.0,Benzine,Automatic,Sedan,2000.0,8
2177,Renault,Megane,2005.0,Benzine,Automatic,Sedan,1600.0,8
2179,Renault,Megane,2006.0,Benzine,Automatic,Sedan,1600.0,8
2249,Seat,Leon,2020.0,Benzine,Automatic,Hatchback,1600.0,8
1550,Mercedes-Benz,C180,2023.0,Benzine,Automatic,Sedan,1500.0,8
2164,Renault,Logan,2017.0,Benzine,Automatic,Sedan,1600.0,8
1565,Mercedes-Benz,C200,2022.0,Benzine,Automatic,Sedan,1500.0,8
1029,Hyundai,Matrix,2006.0,Benzine,Manual,Hatchback,1600.0,8
1570,Mercedes-Benz,C200,2024.0,Benzine,Automatic,Sedan,1500.0,8
1552,Mercedes-Benz,C180,2024.0,Benzine,Automatic,Sedan,1500.0,8
1836,Nissan,Sentra,2026.0,Benzine,Automatic,Sedan,1600.0,7
2115,Renault,Clio,2003.0,Benzine,Manual,Sedan,1200.0,7
2148,Renault,Logan,2010.0,Benzine,Manual,Sedan,1600.0,7
420,Chevrolet,Lanos,2015.0,Benzine,Manual,Sedan,1500.0,7
1413,MG,MG 5,2021.0,Benzine,Automatic,Sedan,1500.0,7
1739,Mercedes-Benz,Viano,2026.0,Benzine,Automatic,Van / Bus,2000.0,7
1309,Kia,Sportage,2022.0,Benzine,Automatic,SUV,1600.0,7
1572,Mercedes-Benz,C200,2025.0,Benzine,Automatic,Sedan,1500.0,7
459,Chevrolet,Optra,2026.0,Benzine,Automatic,Sedan,1500.0,7
850,Geely,Emgrand 7,2015.0,Benzine,Manual,Sedan,1600.0,7
394,Chevrolet,Cruze,2010.0,Benzine,Automatic,Sedan,1600.0,7
1061,Hyundai,Tucson,2026.0,Benzine,Automatic,SUV,1600.0,7
1567,Mercedes-Benz,C200,2023.0,Benzine,Automatic,Sedan,1500.0,6
124,BMW,520,2023.0,Benzine,Automatic,Sedan,1600.0,6
978,Hyundai,Elantra,2021.0,Benzine,Automatic,Sedan,1600.0,6
1177,Jetour,T2,2026.0,Benzine,Automatic,SUV,1500.0,6
442,Chevrolet,Optra,2008.0,Benzine,Automatic,Sedan,1600.0,6
1092,Hyundai,Verna,2015.0,Benzine,Manual,Sedan,1600.0,6
983,Hyundai,Elantra,2026.0,Benzine,Automatic,Sedan,1600.0,6
2379,Speranza,A516,2008.0,Benzine,Manual,Sedan,1600.0,6
2635,Volkswagen,Passat,2021.0,Benzine,Automatic,Sedan,1400.0,6
2568,Toyota,Yaris,2008.0,Benzine,Automatic,Sedan,1300.0,6
2161,Renault,Logan,2016.0,Benzine,Automatic,Sedan,1600.0,6
2160,Renault,Logan,2015.0,Benzine,Manual,Sedan,1600.0,6
323,Chery,Arrizo 5,2026.0,Benzine,Automatic,Sedan,1500.0,6
1542,Mercedes-Benz,C180,2020.0,Benzine,Automatic,Sedan,1500.0,6
1539,Mercedes-Benz,C180,2019.0,Benzine,Automatic,Sedan,1600.0,6
1616,Mercedes-Benz,E200,2021.0,Benzine,Automatic,Sedan,2000.0,6
2333,Skoda,Octavia,2021.0,Benzine,Automatic,Sedan,1400.0,6
520,Cupra,Terramar,2026.0,Benzine,Automatic,SUV,1400.0,6
744,Fiat,Shahin,1998.0,Benzine,Manual,Sedan,1400.0,6
1896,Opel,Astra,2016.0,Benzine,Automatic,Sedan,1600.0,6
975,Hyundai,Elantra,2019.0,Benzine,Automatic,Sedan,1600.0,6
102,BMW,320,2018.0,Benzine,Automatic,Sedan,2000.0,6
2170,Renault,Logan,2019.0,Benzine,Automatic,Sedan,1600.0,6
1528,Mercedes-Benz,C180,2013.0,Benzine,Automatic,Sedan,1600.0,6
446,Chevrolet,Optra,2009.0,Benzine,Automatic,Sedan,1600.0,6
1397,Land Rover,Velar,2025.0,Benzine,Automatic,SUV,2000.0,6
2389,Speranza,A620,2007.0,Benzine,Automatic,Sedan,2000.0,6
1783,Mitsubishi,Lancer,2015.0,Benzine,Automatic,Sedan,1600.0,6
1622,Mercedes-Benz,E200,2024.0,Benzine,Automatic,Sedan,2000.0,6
841,Geely,Emgrand,2026.0,Benzine,Automatic,Sedan,1500.0,5
1897,Opel,Astra,2017.0,Benzine,Automatic,Sedan,1600.0,5
2470,Suzuki,Swift,2021.0,Benzine,Automatic,Hatchback,1200.0,5
1443,MG,ZS,2026.0,Benzine,Automatic,SUV,1500.0,5
412,Chevrolet,Lanos,2012.0,Benzine,Manual,Sedan,1500.0,5
89,BMW,318,2019.0,Benzine,Automatic,Sedan,1500.0,5
423,Chevrolet,Lanos,2017.0,Benzine,Manual,Sedan,1500.0,5
107,BMW,320,2024.0,Benzine,Automatic,Sedan,1600.0,5
2154,Renault,Logan,2013.0,Benzine,Automatic,Sedan,1600.0,5
1895,Opel,Astra,2015.0,Benzine,Automatic,Sedan,1600.0,5
581,Daewoo,Nubira,2001.0,Benzine,Automatic,Sedan,1600.0,5
2151,Renault,Logan,2011.0,Benzine,Manual,Sedan,1600.0,5
563,Daewoo,Lanos,2008.0,Benzine,Manual,Sedan,1500.0,5
652,Fiat,128,1979.0,Benzine,Manual,Sedan,1100.0,5
2654,Volkswagen,Tayron,2026.0,Benzine,Automatic,SUV,1400.0,5
544,Daewoo,Lanos,2000.0,Benzine,Manual,Sedan,1500.0,5
2664,Volkswagen,Tiguan,2024.0,Benzine,Automatic,SUV,1400.0,5
542,Daewoo,Lanos,1999.0,Benzine,Manual,Sedan,1500.0,5
592,Daewoo,Nubira,2005.0,Benzine,Manual,Sedan,1600.0,5
590,Daewoo,Nubira,2005.0,Benzine,Automatic,Sedan,1600.0,5
2371,Speranza,A113,2010.0,Benzine,Manual,Hatchback,1300.0,5
399,Chevrolet,Cruze,2016.0,Benzine,Automatic,Sedan,1600.0,5
