,listing_url,brand,model,year,fuel_type,transmission,body_type,engine_capacity,scraped_at
0,https://www.dubizzle.com.eg/en/ad/%D8%A8%D9%89-%D9%88%D8%A7%D9%89-%D8%AF%D9%89-%D8%B3%D9%88%D9%86%D8%AC-%D8%A8%D9%84%D8%B3-byd-song-plus-605km-smart-ID206522694.html,BYD,Song Plus,2025,Electric,Automatic,SUV,,2026-01-30 18:09:21
1,https://www.dubizzle.com.eg/en/ad/audi-a5-2019-ID206981170.html,Audi,A5,2019,Benzine,Automatic,Sedan,,2026-01-30 18:09:41
2,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%8A%D8%B1%D9%89-%D8%AA%D9%8A%D8%AC%D9%88-8-2022-7-%D8%B1%D8%A7%D9%83%D8%A8-%D9%83%D9%88%D9%81%D9%88%D8%B1%D8%AA-ID205828795.html,Chery,Tiggo 8,2022,Benzine,Automatic,SUV,1500,2026-01-30 18:10:03
3,https://www.dubizzle.com.eg/en/ad/%D9%85%D9%8A%D8%AA%D8%B3%D9%88%D8%A8%D9%8A%D8%B4%D9%8A-%D9%84%D8%A7%D9%86%D8%B3%D8%B1-1997-ID206982043.html,Mitsubishi,Lancer,1997,Benzine,Automatic,Sedan,1300,2026-01-30 18:10:16
4,https://www.dubizzle.com.eg/en/ad/%D9%87%D9%8A%D9%88%D9%86%D8%AF%D8%A7%D9%8A-%D8%A5%D9%84%D9%8A%D9%86%D8%AA%D8%B1%D8%A7-2025-cn7-ID206879831.html,Hyundai,Elantra,2026,Benzine,Automatic,Sedan,1500,2026-01-30 18:10:33
5,https://www.dubizzle.com.eg/en/ad/%D8%AF%D8%A7%D9%8A%D9%88-%D9%86%D9%88%D8%A8%D9%8A%D8%B1%D8%A7-1997-ID206983268.html,Daewoo,Nubira,1997,Benzine,Manual,Sedan,,2026-01-30 18:10:44
6,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%8A%D9%81%D8%B1%D9%88%D9%84%D9%8A%D9%87-%D9%84%D8%A7%D9%86%D9%88%D8%B3-2012-ID206988858.html,Chevrolet,Lanos,2012,Benzine,Manual,Sedan,1500,2026-01-30 18:10:59
7,https://www.dubizzle.com.eg/en/ad/hyundai-elantra-2011-ID206982721.html,Hyundai,Elantra,2011,Benzine,Automatic,Sedan,,2026-01-30 18:11:11
8,https://www.dubizzle.com.eg/en/ad/nissan-qashqai-2022-2022-ID206958945.html,Nissan,Qashqai,2022,Diesel,Automatic,SUV,1600,2026-01-30 18:11:29
9,https://www.dubizzle.com.eg/en/ad/%D8%A3%D8%B9%D9%84%D9%89-%D9%81%D8%A6%D8%A9-%D8%B2%D9%8A%D8%B1%D9%88-%D9%84%D9%85-%D8%AA%D8%B3%D8%AA%D8%AE%D8%AF%D9%85-xiaomi-yu7-max-4wd-690-hp-ID206985507.html,Hyundai,Elantra,2025,Electric,Automatic,Sedan,,2026-01-30 18:11:42
